source,run_num,dl,output,log_name,num_cases
Production_training.bpmn,0,0.42072238,outputs/20200804_142204829211,Production,55
Production_training.bpmn,1,0.421957173,outputs/20200804_142204829211,Production,55
Production_training.bpmn,2,0.422042684,outputs/20200804_142204829211,Production,55
Production_training.bpmn,3,0.411875925,outputs/20200804_142204829211,Production,55
Production_training.bpmn,4,0.420985548,outputs/20200804_142204829211,Production,55
Production_training.bpmn,5,0.43395034,outputs/20200804_142204829211,Production,55
Production_training.bpmn,6,0.41321732,outputs/20200804_142204829211,Production,55
Production_training.bpmn,7,0.400377271,outputs/20200804_142204829211,Production,55
Production_training.bpmn,8,0.433303032,outputs/20200804_142204829211,Production,55
Production_training.bpmn,9,0.414523832,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,0,0.332794293,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,1,0.31989966,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,2,0.34460783,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,3,0.321901881,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,4,0.334649724,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,5,0.328109959,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,6,0.356109005,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,7,0.312321835,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,8,0.337744331,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,9,0.310341156,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,0,0.295003736,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,1,0.276428069,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,2,0.284602277,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,3,0.304191756,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,4,0.291103188,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,5,0.275454188,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,6,0.295579415,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,7,0.307162584,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,8,0.286229245,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,9,0.29226988,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,0,0.368953135,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,1,0.345655005,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,2,0.378780736,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,3,0.361158609,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,4,0.359997099,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,5,0.360923728,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,6,0.380392181,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,7,0.351413392,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,8,0.370655629,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,9,0.329976515,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,0,0.333389884,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,1,0.366519425,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,2,0.3434491,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,3,0.356413929,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,4,0.349380125,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,5,0.343338466,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,6,0.318160498,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,7,0.360240256,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,8,0.384950115,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,9,0.333173772,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,0,0.324109559,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,1,0.325713559,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,2,0.285476606,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,3,0.325069018,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,4,0.339799518,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,5,0.305166347,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,6,0.337877236,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,7,0.327100233,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,8,0.347607787,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,9,0.330280424,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,0,0.382012642,outputs/20200804_142204829211,Production,55
