source,run_num,els,output,log_name,num_cases
Production_training.bpmn,0,0.400728982,outputs/20200804_142204829211,Production,55
Production_training.bpmn,1,0.494166307,outputs/20200804_142204829211,Production,55
Production_training.bpmn,2,0.41195679,outputs/20200804_142204829211,Production,55
Production_training.bpmn,3,0.598795093,outputs/20200804_142204829211,Production,55
Production_training.bpmn,4,0.408915726,outputs/20200804_142204829211,Production,55
Production_training.bpmn,5,0.435597733,outputs/20200804_142204829211,Production,55
Production_training.bpmn,6,0.400848124,outputs/20200804_142204829211,Production,55
Production_training.bpmn,7,0.392011706,outputs/20200804_142204829211,Production,55
Production_training.bpmn,8,0.417545422,outputs/20200804_142204829211,Production,55
Production_training.bpmn,9,0.402338456,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,0,0.314205871,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,1,0.297689621,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,2,0.330216805,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,3,0.304228384,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,4,0.317221824,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,5,0.312428096,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,6,0.34827828,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,7,0.310116958,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,8,0.331241052,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,9,0.298134849,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,0,0.26431871,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,1,0.564704904,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,2,0.264340783,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,3,0.292719041,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,4,0.281486649,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,5,0.260452697,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,6,0.27438335,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,7,0.302754446,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,8,0.264498711,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,9,0.436636839,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,0,0.344772329,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,1,0.464211279,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,2,0.363725336,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,3,0.336903042,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,4,0.337408999,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,5,0.335645863,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,6,0.355969451,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,7,0.329427562,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,8,0.345071491,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,9,0.311649042,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,0,0.336072185,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,1,0.339319244,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,2,0.323080776,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,3,0.333121911,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,4,0.324103267,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,5,0.324973485,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,6,0.2983902,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,7,0.337898033,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,8,0.363020962,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,9,0.308363518,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,0,0.300447384,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,1,0.304309736,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,2,0.266592792,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,3,0.303262646,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,4,0.319103662,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,5,0.285984433,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,6,0.317455639,outputs/20200804_142204829211,Production,55
