model,run_num,emd
Production_training.bpmn,4.5,0.10559151304443444
model_concatenated_39-2.49.h5,4.5,0.21032034698590907
model_concatenated_gru_46-2.55.h5,4.5,0.1667610221272813
model_specialized_67-2.43.h5,4.5,0.19767347547111958
model_specialized_71-2.54.h5,4.5,0.2071461460354971
model_specialized_gru_37-2.50.h5,4.5,0.22104376834790582
model_specialized_gru_41-2.59.h5,4.5,0.1756797039741385
PurchasingExample_training.bpmn,4.5,0.005567847789474679
model_concatenated_42-0.42.h5,4.5,0.7926835386296399
model_concatenated_87-0.42.h5,4.5,0.28084063223103667
model_concatenated_gru_38-0.41.h5,4.5,0.30168044864975746
model_concatenated_gru_79-0.37.h5,4.5,0.300688065445148
model_specialized_14-0.52.h5,4.5,0.27372020988892776
model_specialized_gru_35-0.51.h5,4.5,0.2816566528842858
ConsultaDataMining201618_training.bpmn,4.5,0.00011890208383850552
model_concatenated_31-1.18.h5,4.5,0.42916890471707797
model_concatenated_63-1.31.h5,4.5,0.3910752969671035
model_shared_cat_gru_62-1.32.h5,4.5,0.3859629346625393
model_specialized_144-1.47.h5,4.5,0.7535422976175884
model_specialized_gru_105-1.48.h5,4.5,0.3894509470986169
model_specialized_gru_78-1.32.h5,4.5,0.421369004028939
BPI_Challenge_2012_W_Two_TS_training.bpmn,4.5,0.0017831162117378373
model_concatenated_36-1.56.h5,4.5,0.00048085766018581813
model_shared_cat_gru_06-1.88.h5,4.5,0.0009647154753191191
model_shared_cat_gru_11-1.78.h5,4.5,0.014064821166774273
model_specialized_06-1.86.h5,4.5,0.0684930550633516
model_specialized_18-1.98.h5,4.5,0.014214643510747018
model_specialized_gru_30-1.87.h5,4.5,0.015393919175417
BPI_Challenge_2017_W_Two_TS_training.bpmn,4.5,0.00045790954176637243
model_concatenated_01-1.24.h5,4.5,0.08642253529708917
model_concatenated_01-1.73.h5,4.5,0.04465144327727361
model_concatenated_16-1.18.h5,4.5,0.002078911973423062
model_concatenated_gru_03-1.20.h5,4.5,0.04782811836134211
model_shared_cat_gru_04-1.29.h5,4.5,0.5166160486815286
model_shared_cat_gru_10-1.85.h5,4.5,0.013607304823385792
