source,run_num,mae_log,output,log_name,num_cases
Production_training.bpmn,0,486958.8235,outputs/20200804_142204829211,Production,55
Production_training.bpmn,1,491390.6959,outputs/20200804_142204829211,Production,55
Production_training.bpmn,2,484899.8375,outputs/20200804_142204829211,Production,55
Production_training.bpmn,3,490636.7753,outputs/20200804_142204829211,Production,55
Production_training.bpmn,4,487841.0252,outputs/20200804_142204829211,Production,55
Production_training.bpmn,5,490769.7626,outputs/20200804_142204829211,Production,55
Production_training.bpmn,6,480295.0272,outputs/20200804_142204829211,Production,55
Production_training.bpmn,7,485241.6774,outputs/20200804_142204829211,Production,55
Production_training.bpmn,8,490619.4058,outputs/20200804_142204829211,Production,55
Production_training.bpmn,9,492934.5154,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,0,209259.4364,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,1,199127.9818,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,2,239924.8,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,3,232522.7818,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,4,200986.9273,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,5,199716.6364,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,6,243417.7273,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,7,225427.4727,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,8,176605.5091,outputs/20200804_142204829211,Production,55
model_concatenated_39-2.49.h5,9,225323.0182,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,0,316390.0079,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,1,373642.0698,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,2,342207.6742,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,3,315348.8156,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,4,357808.3413,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,5,357058.5114,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,6,361921.0353,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,7,359171.2367,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,8,345349.3196,outputs/20200804_142204829211,Production,55
model_concatenated_gru_46-2.55.h5,9,337820.7513,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,0,445003.7091,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,1,460264.8727,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,2,445736.2182,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,3,442151.0182,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,4,447238.4,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,5,441627.3636,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,6,446628.2545,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,7,436277.5455,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,8,451152.9636,outputs/20200804_142204829211,Production,55
model_specialized_67-2.43.h5,9,455356.3636,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,0,288916.0909,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,1,339684.0182,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,2,332462.8182,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,3,301551.0909,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,4,269398.0182,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,5,290739.1818,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,6,311040.2909,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,7,293064.4182,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,8,286546.7091,outputs/20200804_142204829211,Production,55
model_specialized_71-2.54.h5,9,294042.2909,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,0,223127,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,1,245058,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,2,205972.8727,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,3,234202.0727,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,4,253441.2727,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,5,260889.3818,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,6,226893.6727,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,7,232449.4182,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,8,191225.5455,outputs/20200804_142204829211,Production,55
model_specialized_gru_37-2.50.h5,9,227691.2,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,0,279440.3111,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,1,227559.8022,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,2,248962.1606,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,3,249595.5781,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,4,211962.3331,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,5,266671.3878,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,6,258195.2171,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,7,235597.5151,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,8,221418.6461,outputs/20200804_142204829211,Production,55
model_specialized_gru_41-2.59.h5,9,234353.0276,outputs/20200804_142204829211,Production,55
ConsultaDataMining201618_training.bpmn,0,430678.1586,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,1,430317.2145,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,2,430456.8314,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,3,430480.6373,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,4,430280.4886,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,5,430497.3657,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,6,430350.1491,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,7,429882.107,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,8,430530.084,outputs/20200805_185852129224,ConsultaDataMining201618,252
ConsultaDataMining201618_training.bpmn,9,430177.4956,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,0,367368.2063,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,1,370130.5437,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,2,371152.8056,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,3,369488.881,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,4,368493.6032,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,5,366415.6349,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,6,374422.1429,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,7,372474.9841,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,8,367267.4008,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,9,369420.7659,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,0,333895.4492,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,1,334129.2713,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,2,339608.7122,outputs/20200805_185852129224,ConsultaDataMining201618,252
